fecha,meade
2012-10,1
2012-11,4
2012-12,4
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,1
2013-09,1
2013-10,1
2013-11,1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,4
2015-09,2
2015-10,2
2015-11,2
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,2
2016-08,2
2016-09,14
2016-10,1
2016-11,2
2016-12,3
2017-01,5
2017-02,1
2017-03,2
2017-04,2
2017-05,1
2017-06,3
2017-07,4
2017-08,7
2017-09,6
2017-10,13
2017-11,66
2017-12,62
2018-01,59
2018-02,52
2018-03,40
2018-04,100
