fecha,anaya,moreno,mancera
2017-10-01,3,2,16
2017-10-02,18,6,9
2017-10-03,2,3,15
2017-10-04,9,6,12
2017-10-05,15,9,11
2017-10-06,30,7,4
2017-10-07,28,2,12
2017-10-08,17,3,14
2017-10-09,15,7,13
2017-10-10,23,11,9
2017-10-11,19,6,5
2017-10-12,14,5,8
2017-10-13,19,5,9
2017-10-14,18,6,5
2017-10-15,11,5,8
2017-10-16,17,6,8
2017-10-17,14,3,8
2017-10-18,15,8,11
2017-10-19,8,6,2
2017-10-20,7,4,4
2017-10-21,8,2,8
2017-10-22,3,5,3
2017-10-23,2,4,1
2017-10-24,6,3,3
2017-10-25,8,3,7
2017-10-26,25,2,6
2017-10-27,5,3,9
2017-10-28,11,3,5
2017-10-29,6,3,0
2017-10-30,7,0,7
2017-10-31,4,6,8
2017-11-01,4,6,10
2017-11-02,4,6,0
2017-11-03,5,1,3
2017-11-04,6,5,6
2017-11-05,2,8,14
2017-11-06,11,4,5
2017-11-07,9,2,3
2017-11-08,6,5,3
2017-11-09,7,0,9
2017-11-10,5,2,8
2017-11-11,1,1,3
2017-11-12,2,6,9
2017-11-13,2,2,9
2017-11-14,4,3,3
2017-11-15,4,4,11
2017-11-16,5,2,6
2017-11-17,10,4,10
2017-11-18,4,7,10
2017-11-19,3,5,11
2017-11-20,1,6,10
2017-11-21,5,5,8
2017-11-22,8,1,8
2017-11-23,9,8,14
2017-11-24,4,1,11
2017-11-25,2,9,2
2017-11-26,5,23,6
2017-11-27,12,8,8
2017-11-28,13,6,13
2017-11-29,9,9,11
2017-11-30,11,7,13
2017-12-01,19,5,9
2017-12-02,6,3,5
2017-12-03,6,5,8
2017-12-04,11,6,14
2017-12-05,12,5,21
2017-12-06,4,5,16
2017-12-07,5,4,12
2017-12-08,9,4,19
2017-12-09,43,21,60
2017-12-10,97,14,57
2017-12-11,78,31,21
2017-12-12,47,18,18
2017-12-13,27,6,11
2017-12-14,41,5,8
2017-12-15,35,8,5
2017-12-16,33,3,11
2017-12-17,27,5,9
2017-12-18,70,7,12
2017-12-19,46,4,8
2017-12-20,40,1,7
2017-12-21,26,3,6
2017-12-22,51,6,8
2017-12-23,51,7,7
2017-12-24,44,2,6
2017-12-25,48,6,13
2017-12-26,41,11,8
2017-12-27,46,6,4
2017-12-28,41,4,3
2017-12-29,27,0,5
2017-12-30,66,3,5
2017-12-31,44,0,2
2018-01-01,32,8,6
2018-01-02,64,3,4
2018-01-03,45,3,4
2018-01-04,47,7,3
2018-01-05,31,5,15
2018-01-06,50,3,9
2018-01-07,50,8,10
2018-01-08,43,24,9
2018-01-09,52,8,4
2018-01-10,62,7,7
2018-01-11,70,8,1
2018-01-12,62,4,10
2018-01-13,64,6,1
2018-01-14,64,12,0
2018-01-15,54,6,4
2018-01-16,34,3,9
2018-01-17,71,1,8
2018-01-18,88,2,10
2018-01-19,81,0,4
2018-01-20,74,3,6
2018-01-21,54,2,5
2018-01-22,70,5,2
2018-01-23,46,3,1
2018-01-24,70,7,4
2018-01-25,51,3,2
2018-01-26,46,4,7
2018-01-27,34,10,3
2018-01-28,80,10,6
2018-01-29,54,7,10
2018-01-30,60,3,43
2018-01-31,53,3,19
2018-02-01,59,0,8
2018-02-02,54,6,6
2018-02-03,46,4,7
2018-02-04,73,2,3
2018-02-05,68,1,1
2018-02-06,46,6,4
2018-02-07,45,1,4
2018-02-08,42,9,6
2018-02-09,54,14,9
2018-02-10,66,7,14
2018-02-11,66,4,4
2018-02-12,46,7,7
2018-02-13,51,2,9
2018-02-14,49,1,9
2018-02-15,32,3,6
2018-02-16,44,2,21
2018-02-17,31,1,15
2018-02-18,62,1,10
2018-02-19,56,5,11
2018-02-20,50,1,11
2018-02-21,61,0,6
2018-02-22,67,2,8
2018-02-23,77,2,10
2018-02-24,58,3,11
2018-02-25,61,3,9
2018-02-26,80,2,11
2018-02-27,100,1,6
2018-02-28,85,2,4
